,"Voucher_x000D_
Date",Branch,Sett#,"Entry_x000D_
Details","Amount_x000D_
Debit","Amount_x000D_
Credit","Running_x000D_
Balance",DrCr,column_8
37,,,,Of Client,,,,,
38,,,,,,,,, 
39,12-Apr-2023,    ,23004F,NSE-F&O Obligation for 12/04/23,0.0,6896.98,456739.88,Cr,
40,,,,,,,,, 
41,12-Apr-2023,HO  ,24506M,Obligation For: 2324506M [Equities] Trade Date,0.0,440284.75,897024.63,Cr,
42,,,,11/04/23,,,,,
43,,,,,,,,, 
44,13-Apr-2023,    ,23004F,NSE-F&O Obligation for 13/04/23,0.0,5183.66,902208.29,Cr,
45,,,,,,,,, 
46,17-Apr-2023,    ,23004F,NSE-F&O Obligation for 17/04/23,0.0,22947.48,925155.77,Cr,
47,,,,,,,,, 
48,17-Apr-2023,HO  ,24508M,Obligation For: 2324508M [Equities] Trade Date,0.0,146171.83,1071327.6,Cr,
49,,,,13/04/23,,,,,
50,,,,,,,,, 
51,18-Apr-2023,    ,23004F,NSE-F&O Obligation for 18/04/23,6785.37,0.0,1064542.23,Cr,
52,,,,,,,,, 
53,18-Apr-2023,HO  ,24509M,Obligation For: 2324509M [Equities] Trade Date,0.0,17652.93,1082195.16,Cr,
54,,,,17/04/23,,,,,
55,,,,,,,,, 
56,19-Apr-2023,    ,23004F,NSE-F&O Obligation for 19/04/23,7304.08,0.0,1074891.0799999998,Cr,
57,,,,,,,,, 
58,19-Apr-2023,HO  ,24510M,Obligation For: 2324510M [Equities] Trade Date,191611.65,0.0,883279.4299999998,Cr,
59,,,,18/04/23,,,,,
60,,,,,,,,, 
61,20-Apr-2023,    ,23004F,NSE-F&O Obligation for 20/04/23,2302.27,0.0,880977.1599999998,Cr,
62,,,,,,,,, 
63,20-Apr-2023,HO  ,24511M,Obligation For: 2324511M [Equities] Trade Date,0.0,46109.18,927086.3399999999,Cr,
64,,,,19/04/23,,,,,
65,,,,,,,,, 
66,21-Apr-2023,    ,23004F,NSE-F&O Obligation for 21/04/23,7282.68,0.0,919803.6599999998,Cr,
67,,,,,,,,, 
68,21-Apr-2023,HO  ,24512M,Obligation For: 2324512M [Equities] Trade Date,36152.26,0.0,883651.3999999998,Cr,
69,,,,20/04/23,,,,,
70,,,,,,,,, 
71,24-Apr-2023,    ,23004F,NSE-F&O Obligation for 24/04/23,0.0,7165.06,890816.4599999998,Cr,
72,,,,,,,,, 
73,24-Apr-2023,HO  ,24513M,Obligation For: 2324513M [Equities] Trade Date,0.0,120676.07,1011492.5299999998,Cr,
74,,,,21/04/23,,,,,
75,,,,,,,,, 
76,25-Apr-2023,HO  ,,		Inter Segment Balance Transfer From BSE   To,0.0,94.5,1011587.0299999998,Cr,
77,,,,NSE,,,,,
78,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
79,,,,,,,,, 
80,25-Apr-2023,HO  ,,		Inter Segment Balance Transfer From BSE   To,94.5,0.0,1011492.5299999998,Cr,
81,,,,NSE,,,,,
82,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
83,,,,,,,,, 
84,25-Apr-2023,    ,23004F,NSE-F&O Obligation for 25/04/23,0.0,7491.29,1018983.8199999998,Cr,
85,,,,,,,,, 
86,25-Apr-2023,HO  ,24514M,Obligation For: 2324514M [Equities] Trade Date,0.0,121505.12,1140488.94,Cr,
87,,,,24/04/23,,,,,
88,,,,,,,,, 
89,26-Apr-2023,HO  ,,		Inter Segment Balance Transfer From BSE   To,0.0,94.5,1140583.44,Cr,
90,,,,NSE,,,,,
91,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
92,,,,,,,,, 
93,26-Apr-2023,HO  ,,		Inter Segment Balance Transfer From BSE   To,94.5,0.0,1140488.94,Cr,
94,,,,NSE,,,,,
95,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
96,,,,,,,,, 
97,26-Apr-2023,    ,23004F,NSE-F&O Obligation for 26/04/23,0.0,7890.06,1148379.0,Cr,
98,,,,,,,,, 
99,26-Apr-2023,HO  ,24515M,Obligation For: 2324515M [Equities] Trade Date,137654.1,0.0,1010724.9,Cr,
100,,,,25/04/23,,,,,
101,,,,,,,,, 
102,27-Apr-2023,HO  ,24516M,Obligation For: 2324516M [Equities] Trade Date,0.0,15403.9,1026128.8,Cr,
103,,,,26/04/23,,,,,
104,,,,,,,,, 
105,28-Apr-2023,    ,23005F,NSE-F&O Obligation for 28/04/23,0.0,7294.99,1033423.79,Cr,
106,,,,,,,,, 
107,28-Apr-2023,HO  ,24517M,Obligation For: 2324517M [Equities] Trade Date,99285.62,0.0,934138.17,Cr,
108,,,,27/04/23,,,,,
109,,,,,,,,, 
110,02-May-2023,    ,23005F,NSE-F&O Obligation for 02/05/23,0.0,6306.87,940445.04,Cr,
111,,,,,,,,, 
112,02-May-2023,HO  ,24518M,Obligation For: 2324518M [Equities] Trade Date,67861.85,0.0,872583.1900000001,Cr,
113,,,,28/04/23,,,,,
114,,,,,,,,, 
115,03-May-2023,    ,23005F,NSE-F&O Obligation for 03/05/23,0.0,9611.76,882194.9500000001,Cr,
116,,,,,,,,, 
117,03-May-2023,HO  ,24519M,Obligation For: 2324519M [Equities] Trade Date,0.0,40331.04,922525.9900000001,Cr,
118,,,,02/05/23,,,,,
119,,,,,,,,, 
120,04-May-2023,HO  ,,Inter Segment Balance Transfer From NSE  To  BSE,0.0,94.5,922620.4900000001,Cr,
121,,,,Of Client,,,,,
122,,,,,,,,, 
123,04-May-2023,HO  ,,Inter Segment Balance Transfer From NSE  To  BSE,94.5,0.0,922525.9900000001,Cr,
124,,,,Of Client,,,,,
125,,,,,,,,, 
126,04-May-2023,    ,23005F,NSE-F&O Obligation for 04/05/23,1251.96,0.0,921274.0300000001,Cr,
127,,,,,,,,, 
128,04-May-2023,HO  ,24520M,Obligation For: 2324520M [Equities] Trade Date,61380.99,0.0,859893.0400000002,Cr,
129,,,,03/05/23,,,,,
130,,,,,,,,, 
131,08-May-2023,    ,23005F,NSE-F&O Obligation for 08/05/23,0.0,4374.0,864267.0400000002,Cr,
132,,,,,,,,, 
133,08-May-2023,    ,23005F,NSE-F&O Obligation for 05/05/23,3242.53,0.0,861024.5100000001,Cr,
134,,,,,,,,, 
135,08-May-2023,HO  ,24521M,Obligation For: 2324521M [Equities] Trade Date,0.0,12363.46,873387.9700000001,Cr,
136,,,,04/05/23,,,,,
137,,,,,,,,, 
138,09-May-2023,    ,23005F,NSE-F&O Obligation for 09/05/23,9045.78,0.0,864342.1900000001,Cr,
139,,,,,,,,, 
140,09-May-2023,HO  ,24523M,Obligation For: 2324523M [Equities] Trade Date,0.0,415917.33,1280259.52,Cr,
141,,,,08/05/23,,,,,
142,,,,,,,,, 
143,10-May-2023,    ,23005F,NSE-F&O Obligation for 10/05/23,4617.09,0.0,1275642.43,Cr,
144,,,,,,,,, 
145,11-May-2023,    ,23005F,NSE-F&O Obligation for 11/05/23,2422.86,0.0,1273219.5699999998,Cr,
146,,,,,,,,, 
147,11-May-2023,HO  ,24525M,Obligation For: 2324525M [Equities] Trade Date,51669.68,0.0,1221549.89,Cr,
148,,,,10/05/23,,,,,
149,,,,,,,,, 
150,12-May-2023,    ,23005F,NSE-F&O Obligation for 12/05/23,9683.74,0.0,1211866.15,Cr,
151,,,,,,,,, 
152,12-May-2023,HO  ,24526M,Obligation For: 2324526M [Equities] Trade Date,0.0,147431.42,1359297.5699999998,Cr,
153,,,,11/05/23,,,,,
154,,,,,,,,, 
155,15-May-2023,    ,23005F,NSE-F&O Obligation for 15/05/23,6977.76,0.0,1352319.8099999998,Cr,
156,,,,,,,,, 
157,16-May-2023,    ,23005F,NSE-F&O Obligation for 16/05/23,0.0,16436.54,1368756.3499999999,Cr,
158,,,,,,,,, 
159,16-May-2023,HO  ,24528M,Obligation For: 2324528M [Equities] Trade Date,57667.85,0.0,1311088.4999999998,Cr,
160,,,,15/05/23,,,,,
161,,,,,,,,, 
162,17-May-2023,    ,23005F,NSE-F&O Obligation for 17/05/23,41092.89,0.0,1269995.6099999999,Cr,
163,,,,,,,,, 
164,18-May-2023,HO  ,24530M,Obligation For: 2324530M [Equities] Trade Date,0.0,192232.7,1462228.3099999998,Cr,
165,,,,17/05/23,,,,,
166,,,,,,,,, 
167,19-May-2023,    ,23005F,NSE-F&O Obligation for 19/05/23,0.0,10643.15,1472871.4599999997,Cr,
168,,,,,,,,, 
169,19-May-2023,HO  ,24531M,Obligation For: 2324531M [Equities] Trade Date,40277.35,0.0,1432594.1099999996,Cr,
170,,,,18/05/23,,,,,
171,,,,,,,,, 
172,22-May-2023,    ,23005F,NSE-F&O Obligation for 22/05/23,0.0,10036.25,1442630.3599999996,Cr,
173,,,,,,,,, 
174,22-May-2023,HO  ,24532M,Obligation For: 2324532M [Equities] Trade Date,205897.55,0.0,1236732.8099999996,Cr,
175,,,,19/05/23,,,,,
176,,,,,,,,, 
177,23-May-2023,    ,23005F,NSE-F&O Obligation for 23/05/23,0.0,8507.05,1245239.8599999996,Cr,
178,,,,,,,,, 
179,23-May-2023,HO  ,24533M,Obligation For: 2324533M [Equities] Trade Date,323241.14,0.0,921998.7199999996,Cr,
180,,,,22/05/23,,,,,
181,,,,,,,,, 
182,24-May-2023,    ,23005F,NSE-F&O Obligation for 24/05/23,0.0,5311.22,927309.9399999996,Cr,
183,,,,,,,,, 
184,24-May-2023,HO  ,24534M,Obligation For: 2324534M [Equities] Trade Date,0.0,76818.35,1004128.2899999996,Cr,
185,,,,23/05/23,,,,,
186,,,,,,,,, 
187,25-May-2023,    ,23005F,NSE-F&O Obligation for 25/05/23,1410.13,0.0,1002718.1599999996,Cr,
188,,,,,,,,, 
189,26-May-2023,    ,23006F,NSE-F&O Obligation for 26/05/23,0.0,10851.81,1013569.9699999996,Cr,
190,,,,,,,,, 
191,26-May-2023,HO  ,24536M,Obligation For: 2324536M [Equities] Trade Date,0.0,319558.83,1333128.7999999996,Cr,
192,,,,25/05/23,,,,,
193,,,,,,,,, 
194,29-May-2023,    ,23006F,NSE-F&O Obligation for 29/05/23,0.0,8436.78,1341565.5799999996,Cr,
195,,,,,,,,, 
196,29-May-2023,HO  ,24537M,Obligation For: 2324537M [Equities] Trade Date,0.0,151603.3,1493168.8799999997,Cr,
197,,,,26/05/23,,,,,
198,,,,,,,,, 
199,30-May-2023,    ,23006F,NSE-F&O Obligation for 30/05/23,0.0,7639.94,1500808.8199999996,Cr,
200,,,,,,,,, 
201,30-May-2023,HO  ,24538M,Obligation For: 2324538M [Equities] Trade Date,0.0,122048.57,1622857.3899999997,Cr,
202,,,,29/05/23,,,,,
203,,,,,,,,, 
204,31-May-2023,    ,23006F,NSE-F&O Obligation for 31/05/23,38138.26,0.0,1584719.1299999997,Cr,
205,,,,,,,,, 
206,31-May-2023,HO  ,24539M,Obligation For: 2324539M [Equities] Trade Date,0.0,152828.19,1737547.3199999996,Cr,
207,,,,30/05/23,,,,,
208,,,,,,,,, 
209,01-Jun-2023,    ,23006F,NSE-F&O Obligation for 01/06/23,6698.06,0.0,1730849.2599999995,Cr,
210,,,,,,,,, 
211,01-Jun-2023,HO  ,24540M,Obligation For: 2324540M [Equities] Trade Date,0.0,106573.04,1837422.2999999996,Cr,
212,,,,31/05/23,,,,,
213,,,,,,,,, 
214,02-Jun-2023,    ,23006F,NSE-F&O Obligation for 02/06/23,0.0,8011.99,1845434.2899999996,Cr,
215,,,,,,,,, 
216,02-Jun-2023,HO  ,24541M,Obligation For: 2324541M [Equities] Trade Date,40064.67,0.0,1805369.6199999996,Cr,
217,,,,01/06/23,,,,,
218,,,,,,,,, 
219,05-Jun-2023,    ,23006F,NSE-F&O Obligation for 05/06/23,0.0,5860.73,1811230.3499999996,Cr,
220,,,,,,,,, 
221,05-Jun-2023,HO  ,24542M,Obligation For: 2324542M [Equities] Trade Date,324316.26,0.0,1486914.0899999996,Cr,
222,,,,02/06/23,,,,,
223,,,,,,,,, 
224,06-Jun-2023,    ,23006F,NSE-F&O Obligation for 06/06/23,0.0,5695.81,1492609.8999999997,Cr,
225,,,,,,,,, 
226,06-Jun-2023,HO  ,24543M,Obligation For: 2324543M [Equities] Trade Date,69690.71,0.0,1422919.1899999997,Cr,
227,,,,05/06/23,,,,,
228,,,,,,,,, 
229,07-Jun-2023,    ,23006F,NSE-F&O Obligation for 07/06/23,0.0,3588.26,1426507.4499999997,Cr,
230,,,,,,,,, 
231,07-Jun-2023,HO  ,24544M,Obligation For: 2324544M [Equities] Trade Date,398304.93,0.0,1028202.5199999998,Cr,
232,,,,06/06/23,,,,,
233,,,,,,,,, 
234,08-Jun-2023,    ,23006F,NSE-F&O Obligation for 08/06/23,371.47,0.0,1027831.0499999998,Cr,
235,,,,,,,,, 
236,09-Jun-2023,    ,23006F,NSE-F&O Obligation for 09/06/23,0.0,7070.32,1034901.3699999998,Cr,
237,,,,,,,,, 
238,09-Jun-2023,HO  ,23050O,Obligation For: 2023050O [BSE] Trade Date 08/06/23,118.35,0.0,1034783.0199999998,Cr,
239,,,,,,,,, 
240,12-Jun-2023,    ,23006F,NSE-F&O Obligation for 12/06/23,0.0,8564.48,1043347.4999999998,Cr,
241,,,,,,,,, 
242,12-Jun-2023,HO  ,24547M,Obligation For: 2324547M [Equities] Trade Date,0.0,63022.34,1106369.8399999999,Cr,
243,,,,09/06/23,,,,,
244,,,,,,,,, 
245,13-Jun-2023,    ,23006F,NSE-F&O Obligation for 13/06/23,0.0,2776.2,1109146.0399999998,Cr,
246,,,,,,,,, 
247,13-Jun-2023,HO  ,24548M,Obligation For: 2324548M [Equities] Trade Date,126945.77,0.0,982200.2699999998,Cr,
248,,,,12/06/23,,,,,
249,,,,,,,,, 
250,15-Jun-2023,    ,23006F,NSE-F&O Obligation for 15/06/23,42718.01,0.0,939482.2599999998,Cr,
251,,,,,,,,, 
252,16-Jun-2023,    ,23006F,NSE-F&O Obligation for 16/06/23,11396.43,0.0,928085.8299999997,Cr,
253,,,,,,,,, 
254,16-Jun-2023,HO  ,24551M,Obligation For: 2324551M [Equities] Trade Date,560.96,0.0,927524.8699999998,Cr,
255,,,,15/06/23,,,,,
256,,,,,,,,, 
257,19-Jun-2023,HO  ,24552M,Obligation For: 2324552M [Equities] Trade Date,54169.74,0.0,873355.1299999998,Cr,
258,,,,16/06/23,,,,,
259,,,,,,,,, 
260,20-Jun-2023,    ,23006F,NSE-F&O Obligation for 20/06/23,0.0,4796.02,878151.1499999998,Cr,
261,,,,,,,,, 
262,20-Jun-2023,HO  ,24553M,Obligation For: 2324553M [Equities] Trade Date,0.0,73283.89,951435.0399999998,Cr,
263,,,,19/06/23,,,,,
264,,,,,,,,, 
265,21-Jun-2023,    ,23006F,NSE-F&O Obligation for 21/06/23,11327.37,0.0,940107.6699999998,Cr,
266,,,,,,,,, 
267,21-Jun-2023,HO  ,24554M,Obligation For: 2324554M [Equities] Trade Date,144395.7,0.0,795711.9699999997,Cr,
268,,,,20/06/23,,,,,
269,,,,,,,,, 
270,22-Jun-2023,HO  ,24555M,Obligation For: 2324555M [Equities] Trade Date,0.0,140375.7,936087.6699999997,Cr,
271,,,,21/06/23,,,,,
272,,,,,,,,, 
273,23-Jun-2023,    ,23006F,NSE-F&O Obligation for 23/06/23,0.0,5926.91,942014.5799999997,Cr,
274,,,,,,,,, 
275,26-Jun-2023,    ,23006F,NSE-F&O Obligation for 26/06/23,0.0,7507.53,949522.1099999998,Cr,
276,,,,,,,,, 
277,26-Jun-2023,HO  ,24557M,Obligation For: 2324557M [Equities] Trade Date,0.0,264044.09,1213566.1999999997,Cr,
278,,,,23/06/23,,,,,
279,,,,,,,,, 
280,27-Jun-2023,    ,23006F,NSE-F&O Obligation for 27/06/23,3202.39,0.0,1210363.8099999998,Cr,
281,,,,,,,,, 
282,27-Jun-2023,HO  ,24558M,Obligation For: 2324558M [Equities] Trade Date,0.0,68963.58,1279327.39,Cr,
283,,,,26/06/23,,,,,
284,,,,,,,,, 
285,28-Jun-2023,    ,23006F,NSE-F&O Obligation for 28/06/23,34309.76,0.0,1245017.63,Cr,
286,,,,,,,,, 
287,30-Jun-2023,    ,23007F,NSE-F&O Obligation for 30/06/23,0.0,9649.96,1254667.5899999999,Cr,
288,,,,,,,,, 
289,03-Jul-2023,    ,23007F,NSE-F&O Obligation for 03/07/23,0.0,6665.23,1261332.8199999998,Cr,
290,,,,,,,,, 
291,04-Jul-2023,    ,23007F,NSE-F&O Obligation for 04/07/23,0.0,8661.58,1269994.4,Cr,
292,,,,,,,,, 
293,04-Jul-2023,HO  ,23059O,Obligation For: 2023059O [BSE] Trade Date 03/07/23,126.64,0.0,1269867.76,Cr,
294,,,,,,,,, 
295,04-Jul-2023,HO  ,24562M,Obligation For: 2324562M [Equities] Trade Date,165568.95,0.0,1104298.81,Cr,
296,,,,03/07/23,,,,,
297,,,,,,,,, 
298,05-Jul-2023,    ,23007F,NSE-F&O Obligation for 05/07/23,0.0,4726.28,1109025.09,Cr,
299,,,,,,,,, 
300,05-Jul-2023,HO  ,24563M,Obligation For: 2324563M [Equities] Trade Date,0.0,101507.61,1210532.7000000002,Cr,
301,,,,04/07/23,,,,,
302,,,,,,,,, 
303,06-Jul-2023,    ,23007F,NSE-F&O Obligation for 06/07/23,0.0,2884.97,1213417.6700000002,Cr,
304,,,,,,,,, 
305,06-Jul-2023,HO  ,24564M,Obligation For: 2324564M [Equities] Trade Date,66862.65,0.0,1146555.0200000003,Cr,
306,,,,05/07/23,,,,,
307,,,,,,,,, 
308,07-Jul-2023,HO  ,,AXIS BANK LTD-BSE CASH CLIENT A/C       ,400000.0,0.0,746555.0200000003,Cr,
309,,,,BEING AMOUNT PAID TOWARDS RUNNING A/C SETTLEMENT,,,,,
310,,,,,,,,, 
311,07-Jul-2023,    ,23007F,NSE-F&O Obligation for 07/07/23,0.0,8189.5,754744.5200000003,Cr,
312,,,,,,,,, 
313,07-Jul-2023,HO  ,24565M,Obligation For: 2324565M [Equities] Trade Date,0.0,151705.95,906450.4700000002,Cr,
314,,,,06/07/23,,,,,
315,,,,,,,,, 
316,10-Jul-2023,HO  ,,AXIS BANK LTD-BSE CASH CLIENT A/C       ,0.0,5400000.0,6306450.470000001,Cr,
317,,,,Cheque# :RTGS dated 10/07/23,,,,,
318,,,,BEING RTGS RTGS/IDIBR52023071034358359/KEYNOTE,,,,,
319,,,,FINANCIAL SER,,,,,
320,,,,Bank# :INDIAN BANK,,,,,
321,,,,A/c # :416199990,,,,,
322,,,,,,,,, 
323,10-Jul-2023,HO  ,,		Inter Segment Balance Transfer From NFO   To,0.0,125755.62,6432206.090000001,Cr,
324,,,,BSE,,,,,
325,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
326,,,,,,,,, 
327,10-Jul-2023,HO  ,,		Inter Segment Balance Transfer From NFO   To,125755.62,0.0,6306450.470000001,Cr,
328,,,,BSE,,,,,
329,,,,		Of Client KEYNOTE FINANCIAL SERVICES LTD,,,,,
330,,,,,,,,, 
331,10-Jul-2023,HO  ,24566M,Obligation For: 2324566M [Equities] Trade Date,670186.32,0.0,5636264.15,Cr,
332,,,,07/07/23,,,,,
333,,,,,,,,, 
334,11-Jul-2023,    ,23007F,NSE-F&O Obligation for 11/07/23,5825.21,0.0,5630438.94,Cr,
335,,,,,,,,, 
336,11-Jul-2023,HO  ,24567M,Obligation For: 2324567M [Equities] Trade Date,0.0,487479.93,6117918.87,Cr,
337,,,,10/07/23,,,,,
338,,,,,,,,, 
339,12-Jul-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,0.0,500000.0,6617918.87,Cr,
340,,,,Of Client,,,,,
341,,,,,,,,, 
342,12-Jul-2023,HO  ,,Inter Segment Balance Transfer From BSE  To  NFO,500000.0,0.0,6117918.87,Cr,
343,,,,Of Client,,,,,
344,,,,,,,,, 
345,12-Jul-2023,    ,23007F,NSE-F&O Obligation for 12/07/23,0.0,1434.6,6119353.47,Cr,
346,,,,,,,,, 
347,12-Jul-2023,HO  ,24568M,Obligation For: 2324568M [Equities] Trade Date,0.0,245235.07,6364588.54,Cr,
348,,,,11/07/23,,,,,
349,,,,,,,,, 
350,13-Jul-2023,    ,23007F,NSE-F&O Obligation for 13/07/23,7358.22,0.0,6357230.32,Cr,
351,,,,,,,,, 
352,14-Jul-2023,    ,23007F,NSE-F&O Obligation for 14/07/23,0.0,6213.24,6363443.5600000005,Cr,
353,,,,,,,,, 
354,14-Jul-2023,HO  ,24570M,Obligation For: 2324570M [Equities] Trade Date,0.0,73134.73,6436578.290000001,Cr,
355,,,,13/07/23,,,,,
356,,,,,,,,, 
357,17-Jul-2023,    ,23007F,NSE-F&O Obligation for 17/07/23,19345.71,0.0,6417232.580000001,Cr,
358,,,,,,,,, 
359,17-Jul-2023,HO  ,24571M,Obligation For: 2324571M [Equities] Trade Date,145279.37,0.0,6271953.210000001,Cr,
360,,,,14/07/23,,,,,
361,,,,,,,,, 
362,18-Jul-2023,    ,23007F,NSE-F&O Obligation for 18/07/23,12690.07,0.0,6259263.140000001,Cr,
363,,,,,,,,, 
364,18-Jul-2023,HO  ,24572M,Obligation For: 2324572M [Equities] Trade Date,1830847.35,0.0,4428415.790000001,Cr,
365,,,,17/07/23,,,,,
366,,,,,,,,, 
367,19-Jul-2023,    ,23007F,NSE-F&O Obligation for 19/07/23,0.0,7152.65,4435568.440000001,Cr,
368,,,,,,,,, 
369,19-Jul-2023,HO  ,24573M,Obligation For: 2324573M [Equities] Trade Date,249135.99,0.0,4186432.450000001,Cr,
370,,,,18/07/23,,,,,
371,,,,,,,,, 
372,20-Jul-2023,    ,23007F,NSE-F&O Obligation for 20/07/23,0.0,4501.66,4190934.1100000013,Cr,
373,,,,,,,,, 
374,20-Jul-2023,HO  ,24574M,Obligation For: 2324574M [Equities] Trade Date,393337.42,0.0,3797596.6900000013,Cr,
375,,,,19/07/23,,,,,
376,,,,,,,,, 
377,21-Jul-2023,    ,23007F,NSE-F&O Obligation for 21/07/23,0.0,10347.34,3807944.030000001,Cr,
378,,,,,,,,, 
379,21-Jul-2023,HO  ,24575M,Obligation For: 2324575M [Equities] Trade Date,895897.13,0.0,2912046.9000000013,Cr,
380,,,,20/07/23,,,,,
381,,,,,,,,, 
382,24-Jul-2023,    ,23007F,NSE-F&O Obligation for 24/07/23,0.0,11387.24,2923434.1400000015,Cr,
383,,,,,,,,, 
384,25-Jul-2023,    ,23007F,NSE-F&O Obligation for 25/07/23,13417.89,0.0,2910016.2500000014,Cr,
385,,,,,,,,, 
386,25-Jul-2023,HO  ,24577M,Obligation For: 2324577M [Equities] Trade Date,368274.43,0.0,2541741.820000001,Cr,
387,,,,24/07/23,,,,,
388,,,,,,,,, 
389,26-Jul-2023,    ,23007F,NSE-F&O Obligation for 26/07/23,0.0,7009.39,2548751.2100000014,Cr,
390,,,,,,,,, 
391,26-Jul-2023,HO  ,24578M,Obligation For: 2324578M [Equities] Trade Date,282956.17,0.0,2265795.0400000014,Cr,
392,,,,25/07/23,,,,,
393,,,,,,,,, 
394,27-Jul-2023,    ,23007F,NSE-F&O Obligation for 27/07/23,12193.4000000004,0.0,2253601.640000001,Cr,
395,,,,,,,,, 
396,27-Jul-2023,HO  ,24579M,Obligation For: 2324579M [Equities] Trade Date,0.0,10269.32,2263870.960000001,Cr,
397,,,,26/07/23,,,,,
398,,,,,,,,, 
399,28-Jul-2023,    ,23008F,NSE-F&O Obligation for 28/07/23,0.0,2338.78,2266209.7400000007,Cr,
400,,,,,,,,, 
401,28-Jul-2023,HO  ,24580M,Obligation For: 2324580M [Equities] Trade Date,0.0,1159.28,2267369.0200000005,Cr,
402,,,,27/07/23,,,,,
403,,,,,,,,, 
404,31-Jul-2023,    ,23008F,NSE-F&O Obligation for 31/07/23,0.0,9451.65,2276820.6700000004,Cr,
405,,,,,,,,, 
406,31-Jul-2023,HO  ,24581M,Obligation For: 2324581M [Equities] Trade Date,0.0,56050.14,2332870.8100000005,Cr,
407,,,,28/07/23,,,,,
408,,,,,,,,, 
409,01-Aug-2023,    ,23008F,NSE-F&O Obligation for 01/08/23,13555.02,0.0,2319315.7900000005,Cr,
410,,,,,,,,, 
411,02-Aug-2023,    ,23008F,NSE-F&O Obligation for 02/08/23,27589.72,0.0,2291726.0700000003,Cr,
412,,,,,,,,, 
413,03-Aug-2023,HO  ,24584M,Obligation For: 2324584M [Equities] Trade Date,112626.88,0.0,2179099.1900000004,Cr,
414,,,,02/08/23,,,,,
415,,,,,,,,, 
416,04-Aug-2023,    ,23008F,NSE-F&O Obligation for 04/08/23,20432.64,0.0,2158666.5500000003,Cr,
417,,,,,,,,, 
418,04-Aug-2023,HO  ,24585M,Obligation For: 2324585M [Equities] Trade Date,156443.15,0.0,2002223.4000000004,Cr,
419,,,,03/08/23,,,,,
420,,,,,,,,, 
421,07-Aug-2023,    ,23008F,NSE-F&O Obligation for 07/08/23,0.0,12136.84,2014360.2400000005,Cr,
422,,,,,,,,, 
423,07-Aug-2023,HO  ,24586M,Obligation For: 2324586M [Equities] Trade Date,0.0,380006.41,2394366.6500000004,Cr,
424,,,,04/08/23,,,,,
425,,,,,,,,, 
