,accd,accddescr,amtcr,amtdr,branchid,branchname,cheqdt,cheqno,co,idn,narr,p_r,runbal,subcode,subdescr,tt,type,vrdt,vrno,acc_year,date_from,date_to
18,62,CLIENTS,71693.14,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,67225,Obligation For: 2223018Z [Equities] Trade Date 26/04/22,blank,551260.86,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-27T18:30:00Z,V223018,2223,01-04-2022,31-03-2023
19,62,CLIENTS,8299.48,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,92236,Obligation For: 2223019W [Equities] Trade Date 27/04/22,blank,559560.34,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-04-28T18:30:00Z,V223019,2223,01-04-2022,31-03-2023
20,62,CLIENTS,0.0,4118.05,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,67558,Obligation For: 2223021W [Equities] Trade Date 29/04/22,blank,555442.29,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-03T18:30:00Z,V223021,2223,01-04-2022,31-03-2023
21,62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,14021,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,533375.39,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-03T18:30:00Z,IE00001,2223,01-04-2022,31-03-2023
22,62,CLIENTS,0.0,22066.9,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,13962,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,511308.49,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-05-04T18:30:00Z,IE00001,2223,01-04-2022,31-03-2023
23,62,CLIENTS,0.0,75060.13,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,67695,Obligation For: 2223022W [Equities] Trade Date 02/05/22,blank,436248.36,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-04T18:30:00Z,V223022,2223,01-04-2022,31-03-2023
24,62,CLIENTS,72874.66,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,67851,Obligation For: 2223023W [Equities] Trade Date 04/05/22,blank,509123.02,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-05T18:30:00Z,V223023,2223,01-04-2022,31-03-2023
25,62,CLIENTS,144679.85,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,68037,Obligation For: 2223024W [Equities] Trade Date 05/05/22,blank,653802.87,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-08T18:30:00Z,V223024,2223,01-04-2022,31-03-2023
26,62,CLIENTS,207846.86,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,68203,Obligation For: 2223025W [Equities] Trade Date 06/05/22,blank,861649.73,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-09T18:30:00Z,V223025,2223,01-04-2022,31-03-2023
27,62,CLIENTS,912433.51,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,68428,Obligation For: 2223026W [Equities] Trade Date 09/05/22,blank,1774083.24,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-10T18:30:00Z,V223026,2223,01-04-2022,31-03-2023
28,62,CLIENTS,0.0,129647.85,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,68600,Obligation For: 2223027W [Equities] Trade Date 10/05/22,blank,1644435.39,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-11T18:30:00Z,V223027,2223,01-04-2022,31-03-2023
29,62,CLIENTS,499236.41,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,68791,Obligation For: 2223028W [Equities] Trade Date 11/05/22,blank,2143671.8,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-12T18:30:00Z,V223028,2223,01-04-2022,31-03-2023
30,62,CLIENTS,0.0,366084.77,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,69000,Obligation For: 2223029W [Equities] Trade Date 12/05/22,blank,1777587.03,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-16T18:30:00Z,V223029,2223,01-04-2022,31-03-2023
31,62,CLIENTS,95091.86,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,69172,Obligation For: 2223030W [Equities] Trade Date 13/05/22,blank,1872678.89,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-17T18:30:00Z,V223030,2223,01-04-2022,31-03-2023
32,62,CLIENTS,571670.7,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,71502,Obligation For: 2223031W [Equities] Trade Date 16/05/22,blank,2444349.59,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-17T18:30:00Z,V223031,2223,01-04-2022,31-03-2023
33,62,CLIENTS,0.0,86476.72,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,92729,Obligation For: 2223032W [Equities] Trade Date 17/05/22,blank,2357872.87,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-18T18:30:00Z,V223032,2223,01-04-2022,31-03-2023
34,62,CLIENTS,0.0,228579.96,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,121239,Obligation For: 2223033W [Equities] Trade Date 18/05/22,blank,2129292.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-19T18:30:00Z,V223033,2223,01-04-2022,31-03-2023
35,62,CLIENTS,0.0,72055.3,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,72447,Obligation For: 2223034W [Equities] Trade Date 19/05/22,blank,2057237.61,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-22T18:30:00Z,V223034,2223,01-04-2022,31-03-2023
36,62,CLIENTS,59434.08,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,72554,Obligation For: 2223034Z [Equities] Trade Date 19/05/22,blank,2116671.69,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-22T18:30:00Z,V223034,2223,01-04-2022,31-03-2023
37,62,CLIENTS,0.0,2872.8,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,94179,Obligation For: 2223035W [Equities] Trade Date 20/05/22,blank,2113798.89,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-23T18:30:00Z,V223035,2223,01-04-2022,31-03-2023
38,62,CLIENTS,0.0,97781.56,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,72751,Obligation For: 2223036W [Equities] Trade Date 23/05/22,blank,2016017.33,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-24T18:30:00Z,V223036,2223,01-04-2022,31-03-2023
39,62,CLIENTS,0.0,147176.09,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,72891,Obligation For: 2223037W [Equities] Trade Date 24/05/22,blank,1868841.24,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-25T18:30:00Z,V223037,2223,01-04-2022,31-03-2023
40,62,CLIENTS,140458.35,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,73826,Obligation For: 2223039W [Equities] Trade Date 26/05/22,blank,2009299.59,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-29T18:30:00Z,V223039,2223,01-04-2022,31-03-2023
41,62,CLIENTS,8102.17,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,73978,Obligation For: 2223040W [Equities] Trade Date 27/05/22,blank,2017401.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-30T18:30:00Z,V223040,2223,01-04-2022,31-03-2023
42,62,CLIENTS,0.0,220797.3,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,297669,Obligation For: 2223041W [Equities] Trade Date 30/05/22,blank,1796604.46,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-05-31T18:30:00Z,V223041,2223,01-04-2022,31-03-2023
43,62,CLIENTS,0.0,179501.64,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,78910,Obligation For: 2223042W [Equities] Trade Date 31/05/22,blank,1617102.82,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-01T18:30:00Z,V223042,2223,01-04-2022,31-03-2023
44,62,CLIENTS,74594.74,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,78612,Obligation For: 2223043W [Equities] Trade Date 01/06/22,blank,1691697.56,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-02T18:30:00Z,V223043,2223,01-04-2022,31-03-2023
45,62,CLIENTS,0.0,80139.39,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,80874,Obligation For: 2223044W [Equities] Trade Date 02/06/22,blank,1611558.17,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-05T18:30:00Z,V223044,2223,01-04-2022,31-03-2023
46,62,CLIENTS,0.0,432074.76,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,81564,Obligation For: 2223045W [Equities] Trade Date 03/06/22,blank,1179483.41,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-06T18:30:00Z,V223045,2223,01-04-2022,31-03-2023
47,62,CLIENTS,0.0,148577.68,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,82978,Obligation For: 2223047W [Equities] Trade Date 07/06/22,blank,1030905.73,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-08T18:30:00Z,V223047,2223,01-04-2022,31-03-2023
48,62,CLIENTS,0.0,52703.67,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,83927,Obligation For: 2223048W [Equities] Trade Date 08/06/22,blank,978202.06,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-09T18:30:00Z,V223048,2223,01-04-2022,31-03-2023
49,62,CLIENTS,0.0,63714.78,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,84355,Obligation For: 2223049W [Equities] Trade Date 09/06/22,blank,914487.28,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-12T18:30:00Z,V223049,2223,01-04-2022,31-03-2023
50,62,CLIENTS,0.0,63579.86,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,86663,Obligation For: 2223050W [Equities] Trade Date 10/06/22,blank,850907.42,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-13T18:30:00Z,V223050,2223,01-04-2022,31-03-2023
51,62,CLIENTS,0.0,999717.42,HO,Branch [HO],2022-06-16T18:30:00Z,blank,2.0,1166,blank,P,-148810.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-06-16T18:30:00Z,P/00008,2223,01-04-2022,31-03-2023
52,62,CLIENTS,48536.24,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,90733,"		Inter Segment Balance Transfer From NFO   To   BSE
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,-100273.76,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-06-16T18:30:00Z,IE00002,2223,01-04-2022,31-03-2023
53,62,CLIENTS,100273.76,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,88681,Obligation For: 2223053W [Equities] Trade Date 15/06/22,blank,0.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-16T18:30:00Z,V223053,2223,01-04-2022,31-03-2023
54,62,CLIENTS,1000000.0,0.0,HO,Branch [HO],2022-06-19T18:30:00Z,RTGS,2.0,1211,blank,R,1000000.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-06-19T18:30:00Z,R/00010,2223,01-04-2022,31-03-2023
55,62,CLIENTS,62122.5,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,89896,Obligation For: 2223054W [Equities] Trade Date 16/06/22,blank,1062122.5,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-19T18:30:00Z,V223054,2223,01-04-2022,31-03-2023
56,62,CLIENTS,0.0,127990.5,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,90775,Obligation For: 2223055W [Equities] Trade Date 17/06/22,blank,934132.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-20T18:30:00Z,V223055,2223,01-04-2022,31-03-2023
57,62,CLIENTS,23414.26,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,93023,Obligation For: 2223056W [Equities] Trade Date 20/06/22,blank,957546.26,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-21T18:30:00Z,V223056,2223,01-04-2022,31-03-2023
58,62,CLIENTS,0.0,56536.04,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,93513,Obligation For: 2223057W [Equities] Trade Date 21/06/22,blank,901010.22,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-22T18:30:00Z,V223057,2223,01-04-2022,31-03-2023
59,62,CLIENTS,0.0,7.26,HO,Branch [HO],1899-12-31T18:30:00Z,blank,1.0,174089,Obligation For: 2022057X [NSE] Trade Date 22/06/22,blank,901002.96,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-22T18:30:00Z,V022057,2223,01-04-2022,31-03-2023
60,62,CLIENTS,0.0,108702.25,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,102411,Obligation For: 2223058W [Equities] Trade Date 22/06/22,blank,792300.71,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-23T18:30:00Z,V223058,2223,01-04-2022,31-03-2023
61,62,CLIENTS,0.0,89814.05,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,94931,Obligation For: 2223059W [Equities] Trade Date 23/06/22,blank,702486.66,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-26T18:30:00Z,V223059,2223,01-04-2022,31-03-2023
62,62,CLIENTS,0.0,62325.39,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,97774,Obligation For: 2223060W [Equities] Trade Date 24/06/22,blank,640161.27,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-27T18:30:00Z,V223060,2223,01-04-2022,31-03-2023
63,62,CLIENTS,0.0,29419.65,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,101924,Obligation For: 2223061W [Equities] Trade Date 27/06/22,blank,610741.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-28T18:30:00Z,V223061,2223,01-04-2022,31-03-2023
64,62,CLIENTS,0.0,93396.85,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,102179,Obligation For: 2223062W [Equities] Trade Date 28/06/22,blank,517344.77,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-06-29T18:30:00Z,V223062,2223,01-04-2022,31-03-2023
65,62,CLIENTS,0.0,65619.09,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,106277,Obligation For: 2223064W [Equities] Trade Date 30/06/22,blank,451725.68,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-03T18:30:00Z,V223064,2223,01-04-2022,31-03-2023
66,62,CLIENTS,0.0,155939.24,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,106474,Obligation For: 2223066W [Equities] Trade Date 04/07/22,blank,295786.44,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-05T18:30:00Z,V223066,2223,01-04-2022,31-03-2023
67,62,CLIENTS,0.0,233779.92,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,106031,Obligation For: 2223067W [Equities] Trade Date 05/07/22,blank,62006.52,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-06T18:30:00Z,V223067,2223,01-04-2022,31-03-2023
68,62,CLIENTS,0.0,96272.23,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,107534,Obligation For: 2223068W [Equities] Trade Date 06/07/22,blank,-34265.71,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-07T18:30:00Z,V223068,2223,01-04-2022,31-03-2023
69,62,CLIENTS,34259.71,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,109555,"		Inter Segment Balance Transfer From NFO   To   BSE
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,-6.0,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-07-07T18:30:00Z,IE00002,2223,01-04-2022,31-03-2023
70,62,CLIENTS,70222.91,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,109618,Obligation For: 2223069W [Equities] Trade Date 07/07/22,blank,70216.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-10T18:30:00Z,V223069,2223,01-04-2022,31-03-2023
71,62,CLIENTS,0.0,29829.45,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,108638,Obligation For: 2223070W [Equities] Trade Date 08/07/22,blank,40387.46,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-11T18:30:00Z,V223070,2223,01-04-2022,31-03-2023
72,62,CLIENTS,59113.45,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,110646,Obligation For: 2223071W [Equities] Trade Date 11/07/22,blank,99500.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-12T18:30:00Z,V223071,2223,01-04-2022,31-03-2023
73,62,CLIENTS,500000.0,0.0,HO,Branch [HO],2022-07-13T18:30:00Z,308273,2.0,1593,blank,R,599500.91,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-07-13T18:30:00Z,R/00012,2223,01-04-2022,31-03-2023
74,62,CLIENTS,0.0,14777.24,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,113372,"		Inter Segment Balance Transfer From BSE   To   NFO
		Of Client KEYNOTE FINANCIAL SERVICES LTD",blank,584723.67,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,IE,J,2022-07-13T18:30:00Z,IE00002,2223,01-04-2022,31-03-2023
75,62,CLIENTS,68922.32,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,112508,Obligation For: 2223072W [Equities] Trade Date 12/07/22,blank,653645.99,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-13T18:30:00Z,V223072,2223,01-04-2022,31-03-2023
76,62,CLIENTS,0.0,3.14,HO,Branch [HO],1899-12-31T18:30:00Z,blank,1.0,174167,Obligation For: 2022083X [NSE] Trade Date 14/07/22,blank,653642.85,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-14T18:30:00Z,V022083,2223,01-04-2022,31-03-2023
77,62,CLIENTS,0.0,77.23,HO,Branch [HO],1899-12-31T18:30:00Z,blank,1.0,174180,Obligation For: 2022084X [NSE] Trade Date 15/07/22,blank,653565.62,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-17T18:30:00Z,V022084,2223,01-04-2022,31-03-2023
78,62,CLIENTS,121750.78,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,114808,Obligation For: 2223075W [Equities] Trade Date 15/07/22,blank,775316.4,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-18T18:30:00Z,V223075,2223,01-04-2022,31-03-2023
79,62,CLIENTS,0.0,60420.47,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,115071,Obligation For: 2223076W [Equities] Trade Date 18/07/22,blank,714895.93,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-19T18:30:00Z,V223076,2223,01-04-2022,31-03-2023
80,62,CLIENTS,125000.0,0.0,HO,Branch [HO],2022-07-20T18:30:00Z,308274,2.0,1689,blank,R,839895.93,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,BC,C,2022-07-20T18:30:00Z,R/00015,2223,01-04-2022,31-03-2023
81,62,CLIENTS,0.0,120660.96,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,116214,Obligation For: 2223077W [Equities] Trade Date 19/07/22,blank,719234.97,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-20T18:30:00Z,V223077,2223,01-04-2022,31-03-2023
82,62,CLIENTS,0.0,47387.15,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,118111,Obligation For: 2223079W [Equities] Trade Date 21/07/22,blank,671847.82,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-24T18:30:00Z,V223079,2223,01-04-2022,31-03-2023
83,62,CLIENTS,0.0,61073.12,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,124171,Obligation For: 2223080W [Equities] Trade Date 22/07/22,blank,610774.7,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-25T18:30:00Z,V223080,2223,01-04-2022,31-03-2023
84,62,CLIENTS,165610.74,0.0,HO,Branch [HO],1899-12-31T18:30:00Z,blank,2.0,124965,Obligation For: 2223081W [Equities] Trade Date 25/07/22,blank,776385.44,CK00000005,KEYNOTE FINANCIAL SERVICES LTD,VL,J,2022-07-26T18:30:00Z,V223081,2223,01-04-2022,31-03-2023
